BRAND,FlashName,ID,CE,TYPE,SIZE,FlashID1,FlashID2,FlashID,MaxBlock,MaxPage,MaxSector,MaxZone,MaxBank,MaxPhyBlock,MaxLogBlock,BlockPerDie,RWCycle,6913RWCycle,6919RWCycle,BinFileName,BinFileNameLLF,DQSDelay,6913DQSDelay,DefWrite,DefRead,FMAutoECC,ECCClock,Driving,6913Driving,6921Driving,BBPercent1,BBPercent2,EnableBitECC,Enable12BitECC,DisableWriteCache,DisableReadStatus,Homogenous,ThreadNumber,OriginOSC,Toggle,ECCAllow,FlashCase,LoadTLC_FW,FullFirmwareBlock,EnableBCT,SLC_boundary,Sync,ReadRetryTable,FirmwarePage,LoadPattern_FW,LLFBLOCK,LLFBLOCK_ECC,InterceptUFI,FW_Enable_Toggle,ZoneShift,ShiftByte,SET_LC_enable ,LC_Value,for_DG,FlashDriving,FlashDriving2 ,InitValue_Enable,9023,9024,SLC_Path,SLC_Mode,1Ynm
Sandisk,SDTNQCAMA-004G,"0x45,0xD7,0x98,0x92,0x72,0x57",1,TLC,4096,81,5,0x8C,2048,516,16,1,1,1064,2018,-1,0x03,0x03,1,98_8C_EX3.BIN,98_8C_EX3_MP.BIN,0x13,0x03,0xFF,0xFF,0xFF,0xFF,0x00,0x88,0x00,6.5,6.5,68,0,0,0,1,5,0,0,0,0,1,0,1,0,0,98_EX3TABLE_V2.BIN,0xFF,0,128,30,1,0,0,0xFF,0x51,0x59,0,0,0,0x00,0x00,0x02,XX,0,0
Samsung,K9CFGD8U1A,"0xEC,0x3A,0xD9,0xCE,0x78,0xC4",2,TLC,32768,84,5,0x3D,2048,384,16,4,4,2048,1950,5576,0x03,0x03,1,98_3D_K9ACG.BIN,98_3D_K9ACG.BIN,0x13,0x03,0xFF,0xFF,0xFF,0xFF,0x00,0x88,0x00,6.2,6.2,72,0,0,0,1,5,0,1,0,0,1,1,0,0,0,0xFF,0xFF,0,0,0,1,0,0,0xFF,0x51,0x59,0,0,0,0x00,0x00,0x02,XX,0,0
Samsung,K9ACGD8U0A,"0xEC,0xDE,0x98,0xCE,0x74,0xC4",1,TLC,8192,82,15,0x3C,2048,384,16,2,2,2048,1900,2788,0x03,0x03,1,98_3C_K9ACG.BIN,98_3C_K9ACG.BIN,0x13,0x03,0xFF,0xFF,0xFF,0xFF,0x00,0x88,0x00,6.2,6.2,72,0,0,0,1,5,0,1,0,0,0,1,0,0,0,0xFF,0xFF,0,0,0,1,0,0,0xFF,0x51,0x59,0,0,0,0x00,0x00,0x02,XX,0,0
Transcend,TCGSTAP-0S06,"0xEC,0xDE,0x98,0xCE,0x74,0xC4",1,TLC,8192,82,23,0x3C,2048,384,16,2,2,2048,1900,2788,0x03,0x03,1,98_3C_K9ACG.BIN,98_3C_K9ACG.BIN,0x13,0x03,0xFF,0xFF,0xFF,0xFF,0x00,0x88,0x00,6.2,6.2,72,0,0,0,1,5,0,1,0,0,0,1,0,0,0,0xFF,0xFF,0,0,0,1,0,0,0xFF,0x51,0x59,0,0,0,0x00,0x00,0x02,XX,0,0
Transcend,TCGSTAP-0S03,"0xEC,0xDE,0x98,0xCE,0x74,0xC4",1,TLC,8192,82,24,0x3C,2048,384,16,2,2,2048,1900,2788,0x03,0x03,1,98_3C_K9ACG.BIN,98_3C_K9ACG.BIN,0x13,0x03,0xFF,0xFF,0xFF,0xFF,0x00,0x88,0x00,6.2,6.2,72,0,0,0,1,5,0,1,0,0,0,1,0,0,0,0xFF,0xFF,0,0,0,1,0,0,0xFF,0x51,0x59,0,0,0,0x00,0x00,0x02,XX,0,0
Transcend,TCGSTAP-0S04,"0xEC,0xDE,0x98,0xCE,0x74,0xC4",1,TLC,8192,82,25,0x3C,2048,384,16,2,2,2048,1900,2788,0x03,0x03,1,98_3C_K9ACG.BIN,98_3C_K9ACG.BIN,0x13,0x03,0xFF,0xFF,0xFF,0xFF,0x00,0x88,0x00,6.2,6.2,72,0,0,0,1,5,0,1,0,0,0,1,0,0,0,0xFF,0xFF,0,0,0,1,0,0,0xFF,0x51,0x59,0,0,0,0x00,0x00,0x02,XX,0,0
Samsung,K9ABGD8U0C,"0xEC,0xD7,0x98,0xCE,0x74,0xC4",1,TLC,4096,81,12,0x3C,2048,384,16,1,1,2048,1300,1397,0x03,0x03,1,98_3C_K9ACG.BIN,98_3C_K9ACG.BIN,0x13,0x03,0xFF,0xFF,0xFF,0xFF,0x00,0x88,0x00,6.2,6.2,72,0,0,0,1,5,0,1,0,0,0,1,0,0,0,0xFF,0xFF,0,0,0,1,0,0,0xFF,0x51,0x59,0,0,0,0x00,0x00,0x02,XX,0,0
Transcend,TBGSTCP-0S03,"0xEC,0xD7,0x98,0xCE,0x74,0xC4",1,TLC,4096,81,33,0x3C,2048,384,16,1,1,2048,1300,1397,0x03,0x03,1,98_3C_K9ACG.BIN,98_3C_K9ACG.BIN,0x13,0x03,0xFF,0xFF,0xFF,0xFF,0x00,0x88,0x00,6.2,6.2,72,0,0,0,1,5,0,1,0,0,0,1,0,0,0,0xFF,0xFF,0,0,0,1,0,0,0xFF,0x51,0x59,0,0,0,0x00,0x00,0x02,XX,0,0
Transcend,TBGSTCP-0S06,"0xEC,0xD7,0x98,0xCE,0x74,0xC4",1,TLC,4096,81,34,0x3C,2048,384,16,1,1,2048,1300,1397,0x03,0x03,1,98_3C_K9ACG.BIN,98_3C_K9ACG.BIN,0x13,0x03,0xFF,0xFF,0xFF,0xFF,0x00,0x88,0x00,6.2,6.2,72,0,0,0,1,5,0,1,0,0,0,1,0,0,0,0xFF,0xFF,0,0,0,1,0,0,0xFF,0x51,0x59,0,0,0,0x00,0x00,0x02,XX,0,0
Transcend,TBGSTCP-0S04,"0xEC,0xD7,0x98,0xCE,0x74,0xC4",1,TLC,4096,81,35,0x3C,2048,384,16,1,1,2048,1300,1397,0x03,0x03,1,98_3C_K9ACG.BIN,98_3C_K9ACG.BIN,0x13,0x03,0xFF,0xFF,0xFF,0xFF,0x00,0x88,0x00,6.2,6.2,72,0,0,0,1,5,0,1,0,0,0,1,0,0,0,0xFF,0xFF,0,0,0,1,0,0,0xFF,0x51,0x59,0,0,0,0x00,0x00,0x02,XX,0,0
