Error Code 			Definition
-----------------------------------------------------------------------------------

0xBE				READ_CAPACITY_ERROR
0xCE				GET_FLASH_ID_ERROR
0xFE				CHANNEL_MODE_ERROR
0x01FE				SET_CHANNEL_MODE_ERROR
0x02FE				SUPPORT_CHANNEL_ERROR
0x03FE				MISS_DAT_ERROR
0x04FE				GET_BLOCK0_ERROR
0x05FE				GET_RENBLOCK0_ERROR
0x06FE				ERASE_CMD_ERROR
0x07FE				ERASE_BLOCK0_ERROR
0x08FE				MISS_BIN_ERROR
0x09FE				WRITE_SCRIPT_ERROR
0x0AFE				READ_SCRIPT_ERROR
0x0BFE				READ_BINARY_FILE_ERROR
0x0CFE				WRITE_BINARY_ERROR
0x0DFE				READ_BINARY_ERROR
0x0EFE				WRITE_FW_ERROR
0x0FFE				READ_BLK_ADDRESS_ERROR
0x1FFE				COMPARE_BLK_ADDRESS_ERROR
0x2FFE				COMPARE_SCRIPT_ERROR
0x3FFE				READ_FLASHCODE_ERROR
0x4FFE				COMPARE_FLASHCODE_ERROR
0x5FFE				LOAD_FWCODE_ERROR
0x6FFE				INITIAL_FW_ERROR
0x7FFE				BINARY_CORRUPT_ERROR
0x8FFE				CHECK_DUALDIE_ERROR
0xE501				E_CONTROLLER_NO_SUPPORT
0xE502				E_READ_BUFFER
0xE503				E_WRITE_BUFFER
0xE505				E_ERASE_BLOCK_LOW
0xE508				E_PHYREAD_BUFFER
0xE509				E_FLASH_NO_SUPPORT
0xE50A				E_CHECK_MAPPING_TABLE
0xE301				E_PHY_READ
0xE306				E_NO_AVAILABLE_FIRMWARE_BLOCK_FOUND
0xE39A				E_READ_ROM_VERSION
0xE001				E_WRITE_BAD_BLOCK_TALBE_MAP
0xE002				E_READ_BAD_BLOCK_TALBE_MAP
0xE003				E_NOT_SUPPORT_EIGHT_OVER_DIES
0xE004				E_GET_BLOCK_TABLE_MAP
0xE005				E_GENERATE_MAP_CHECK_SUM
0xE006				E_WRITE_MAP_CHECK_SUM
0xE007				E_READ_MAP_CHECK_SUM
0xE008				E_MAP_CHECK_SUM
0xE009				E_WRITE_BAD_BLOCK_TABLE_FROM_MAP
0xE00A				E_CLEAN_BAD_BLOCK_MAP_BLOCK
0xE00B				E_MARK_DEFAULT_BAD_BLOCK
0xE00C				E_BAD_BLOCK_TABLE_MAP_VERIFY
0xE201				E_INVALID_SIZE_WITH_SPEC
0xE401				E_LLF_READ_PATTERN_SOURCE
0xE010				E_COPY_CUSTOM_FOLDER


-----------------------------------------------------------------------------------

READ_ORIGINALCAPACITY		Read Flash Capacity Fail
WRITEPROTECT			Device Write Protect
ERASE_SERIAL_NO			Erase SN Fail
PASSWORD_ERROR			Clean Password Fail
GETCHIPNUMBER			Get Chip Number Vendor Command Fail
SELECT_FUNCTION			Select Function Vendor Command Fail
LOADER_SIZE_ERROR		The loader Size is conflict with actual Flash size
FLASH_SIZE_ERROR		The reserve size is conflict with actual Flash size
FIRMWARE_CORRUPT		Firmware data is corrupted
CONFIG_CORRUPT			Config data is corrupted
FAT_FORMAT_ERROR		FAT data is error
GET_FAT				Get FAT fail
GETCONFIGURATION		Get Config data fail
DIRECTION_IN			Write Fail
WRITE_LOADER_ERROR		Write Loader disk fail
WRITE_RESERVE_ERROR		Write Reserve disk fail
MBR_ERROR			Write MBR fail 
BOOT_SECTOR_ERROR		Weite Boot Sector fail
FAT_ERROR			Make FAT fail (Check Bad Block Limit)
ROOT_SECTOR_ERROR		Write root directory fail
WRITE_VID			Write VID/PID fail
DLLERR1				No DLL file
DLLERR2				NO DLL function
CHECK_CONFIG_ERROR		Check Config data error
CHECK_LOADER_ERROR		Check Loader data error
WRITE_FILE_ERROR		Write File fail
TOO_MANY_BAD_BLOCK		Too many bad blocks
LLF_TOO_MANY_BAD_BLOCK		Too many bad blocks after LLF
RESET_ERROR			Can't do the reset action
CHECK_BOOT_ERROR		Check Boot sector fail		
CIS_ERROR			Check CIS fail
RW_ERROR			Read/Write Test fail
UNKNOWN_FLASH_ERROR		Unknow flash
DEFAULT_SIZE_ERROR		Default size setting error
WRONG_FLASH_ERROR		Wrong Flash 
WRONG_MINIMUM_BADBLOCK		The bad block setting is less than reserved
INITIAL_SIZE_ERROR		Used disk size error
BADBLOCK_INCREASE		Bad block increased error
