two plane,twoplane_interleave
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
16,12
17,13
18,14
19,15
28,16
29,17
30,18
31,19
40,20
41,21
42,22
43,23
52,32
53,33
54,34
55,35
64,36
65,37
66,38
67,39
76,56
77,57
78,58
79,59
88,60
89,61
90,62
91,63
100,80
101,81
102,82
103,83
112,84
113,85
114,86
115,87
124,104
125,105
126,106
127,107
136,108
137,109
138,110
139,111
148,128
149,129
150,130
151,131
160,132
161,133
162,134
163,135
172,152
173,153
174,154
175,155
184,156
185,157
186,158
187,159
196,176
197,177
198,178
199,179
208,180
209,181
210,182
211,183
220,200
221,201
222,202
223,203
232,204
233,205
234,206
235,207
244,224
245,225
246,226
247,227
256,228
257,229
258,230
259,231
268,248
269,249
270,250
271,251
280,252
281,253
282,254
283,255
292,272
293,273
294,274
295,275
304,276
305,277
306,278
307,279
316,296
317,297
318,298
319,299
328,300
329,301
330,302
331,303
340,320
341,321
342,322
343,323
352,324
353,325
354,326
355,327
364,344
365,345
366,346
367,347
376,348
377,349
378,350
379,351
388,368
389,369
390,370
391,371
400,372
401,373
402,374
403,375
412,392
413,393
414,394
415,395
424,396
425,397
426,398
427,399
436,416
437,417
438,418
439,419
448,420
449,421
450,422
451,423
460,440
461,441
462,442
463,443
472,444
473,445
474,446
475,447
484,464
485,465
486,466
487,467
496,468
497,469
498,470
499,471
508,488
509,489
510,490
511,491
520,492
521,493
522,494
523,495
532,512
533,513
534,514
535,515
544,516
545,517
546,518
547,519
556,536
557,537
558,538
559,539
568,540
569,541
570,542
571,543
580,560
581,561
582,562
583,563
592,564
593,565
594,566
595,567
604,584
605,585
606,586
607,587
616,588
617,589
618,590
619,591
628,608
629,609
630,610
631,611
640,612
641,613
642,614
643,615
652,632
653,633
654,634
655,635
664,636
665,637
666,638
667,639
676,656
677,657
678,658
679,659
688,660
689,661
690,662
691,663
700,680
701,681
702,682
703,683
712,684
713,685
714,686
715,687
724,704
725,705
726,706
727,707
736,708
737,709
738,710
739,711
748,728
749,729
750,730
751,731
760,732
761,733
762,734
763,735
,752
,753
,754
,755
,756
,757
,758
,759
,776
,777
,778
,779
,780
,781
,782
,783
,800
,801
,802
,803
,804
,805
,806
,807
,824
,825
,826
,827
,828
,829
,830
,831
,848
,849
,850
,851
,852
,853
,854
,855
,872
,873
,874
,875
,876
,877
,878
,879
,896
,897
,898
,899
,900
,901
,902
,903
,920
,921
,922
,923
,924
,925
,926
,927
,944
,945
,946
,947
,948
,949
,950
,951
,968
,969
,970
,971
,972
,973
,974
,975
,992
,993
,994
,995
,996
,997
,998
,999
,1016
,1017
,1018
,1019
,1020
,1021
,1022
,1023
,1040
,1041
,1042
,1043
,1044
,1045
,1046
,1047
,1064
,1065
,1066
,1067
,1068
,1069
,1070
,1071
,1088
,1089
,1090
,1091
,1092
,1093
,1094
,1095
,1112
,1113
,1114
,1115
,1116
,1117
,1118
,1119
,1136
,1137
,1138
,1139
,1140
,1141
,1142
,1143
,1160
,1161
,1162
,1163
,1164
,1165
,1166
,1167
,1184
,1185
,1186
,1187
,1188
,1189
,1190
,1191
,1208
,1209
,1210
,1211
,1212
,1213
,1214
,1215
,1232
,1233
,1234
,1235
,1236
,1237
,1238
,1239
,1256
,1257
,1258
,1259
,1260
,1261
,1262
,1263
,1280
,1281
,1282
,1283
,1284
,1285
,1286
,1287
,1304
,1305
,1306
,1307
,1308
,1309
,1310
,1311
,1328
,1329
,1330
,1331
,1332
,1333
,1334
,1335
,1352
,1353
,1354
,1355
,1356
,1357
,1358
,1359
,1376
,1377
,1378
,1379
,1380
,1381
,1382
,1383
,1400
,1401
,1402
,1403
,1404
,1405
,1406
,1407
,1424
,1425
,1426
,1427
,1428
,1429
,1430
,1431
,1448
,1449
,1450
,1451
,1452
,1453
,1454
,1455
,1472
,1473
,1474
,1475
,1476
,1477
,1478
,1479
,1496
,1497
,1498
,1499
,1500
,1501
,1502
,1503
,1520
,1521
,1522
,1523
,1524
,1525
,1526
,1527
