FlashID,SubID,Brand,FlashName,MaxZonePerDie,MaxBank,MaxSector,MaxBasePage,MaxAllocPage,MaxPhyPlane,MaxPhyBlock,bmBlockOccupiedBit,SectorOffset,PageOffset,PlaneOffset,BlockOffset,MaxDiePerCE,Ori_ZoneShift,ZoneShift,OPMode,MaxTotalPage,MaxPlane,bmZoneOccupiedBit,ZoneOffset,GeoType,MaxBlkSector,CardType,ToggleMode,ExtraByte,DieBlcokNum,DieBlockStuff
"0x2C,0x64,0x44,0x4B,0xA9,0x00",0x01,Micron,MT29F64G08CBABA,1,1,16,256,256,2,2048,0x07FF,0,0,8,9,1,,,0x11,256,1,0xF001,8,25,4096,0,0,0,0,0
"0x2C,0x64,0x44,0x4B,0xA9,0x00",0x01,Micron,MT29F64G08CBABA,1,1,16,256,256,2,2048,0x07FF,0,0,8,9,1,,,0x11,512,2,0x000F,20,26,8192,1,0,0,0,0
"0x2C,0x64,0x44,0x4B,0xA9,0x00",0x01,Micron,MT29F64G08CBABA,1,1,16,256,256,2,2048,0x07FF,0,0,8,9,1,,,0x11,1024,4,0x000F,20,27,16384,2,0,0,0,0
"0x2C,0x64,0x44,0x4B,0xA9,0x00",0x01,Micron,MT29F64G08CBABA,1,1,16,256,256,2,2048,0x07FF,0,0,8,9,1,,,0x12,512,1,0xF001,8,25,8192,3,0,0,0,0
"0x2C,0x64,0x44,0x4B,0xA9,0x00",0x01,Micron,MT29F64G08CBABA,1,1,16,256,256,2,2048,0x07FF,0,0,8,9,1,,,0x12,1024,2,0x000F,20,26,16384,4,0,0,0,0
"0x2C,0x64,0x44,0x4B,0xA9,0x00",0x01,Micron,MT29F64G08CBABA,1,1,16,256,256,2,2048,0x07FF,0,0,8,9,1,,,0x12,2048,4,0x000F,20,27,32768,5,0,0,0,0
"0x2C,0x64,0x44,0x4B,0xA9,0x00",0x01,Micron,MT29F64G08CBABA,1,1,16,256,256,2,2048,0x07FF,0,0,8,9,1,,,0x14,1024,1,0xF001,8,25,16384,6,0,0,0,0
"0x2C,0x64,0x44,0x4B,0xA9,0x00",0x01,Micron,MT29F64G08CBABA,1,1,16,256,256,2,2048,0x07FF,0,0,8,9,1,,,0x14,2048,2,0x000F,20,26,32768,7,0,0,0,0
"0x2C,0x64,0x44,0x4B,0xA9,0x00",0x01,Micron,MT29F64G08CBABA,1,1,16,256,256,2,2048,0x07FF,0,0,8,9,1,,,0x14,4096,4,0x000F,20,27,65536,8,0,0,0,0
"0x2C,0x64,0x44,0x4B,0xA9,0x00",0x01,Micron,MT29F64G08CBABA,1,1,16,256,256,2,2048,0x07FF,0,0,8,9,1,,,0x21,512,1,0xF001,8,25,8192,9,0,0,0,0
"0x2C,0x64,0x44,0x4B,0xA9,0x00",0x01,Micron,MT29F64G08CBABA,1,1,16,256,256,2,2048,0x07FF,0,0,8,9,1,,,0x21,1024,2,0x000F,20,26,16384,10,0,0,0,0
"0x2C,0x64,0x44,0x4B,0xA9,0x00",0x01,Micron,MT29F64G08CBABA,1,1,16,256,256,2,2048,0x07FF,0,0,8,9,1,,,0x21,2048,4,0x000F,20,27,32768,11,0,0,0,0
"0x89,0x88,0x24,0x4B,0xA9,0x84",0x00,Intel,Intel-L84,1,1,16,256,256,2,2048,0x07FF,0,0,8,9,1,,,0x11,256,1,0xF001,8,25,4096,0,0,0,0,0
"0x89,0x88,0x24,0x4B,0xA9,0x84",0x00,Intel,Intel-L84,1,1,16,256,256,2,2048,0x07FF,0,0,8,9,1,,,0x11,512,2,0x000F,20,26,8192,1,0,0,0,0
"0x89,0x88,0x24,0x4B,0xA9,0x84",0x00,Intel,Intel-L84,1,1,16,256,256,2,2048,0x07FF,0,0,8,9,1,,,0x11,1024,4,0x000F,20,27,16384,2,0,0,0,0
"0x89,0x88,0x24,0x4B,0xA9,0x84",0x00,Intel,Intel-L84,1,1,16,256,256,2,2048,0x07FF,0,0,8,9,1,,,0x12,512,1,0xF001,8,25,8192,3,0,0,0,0
"0x89,0x88,0x24,0x4B,0xA9,0x84",0x00,Intel,Intel-L84,1,1,16,256,256,2,2048,0x07FF,0,0,8,9,1,,,0x12,1024,2,0x000F,20,26,16384,4,0,0,0,0
"0x89,0x88,0x24,0x4B,0xA9,0x84",0x00,Intel,Intel-L84,1,1,16,256,256,2,2048,0x07FF,0,0,8,9,1,,,0x12,2048,4,0x000F,20,27,32768,5,0,0,0,0
"0x89,0x88,0x24,0x4B,0xA9,0x84",0x00,Intel,Intel-L84,1,1,16,256,256,2,2048,0x07FF,0,0,8,9,1,,,0x14,1024,1,0xF001,8,25,16384,6,0,0,0,0
"0x89,0x88,0x24,0x4B,0xA9,0x84",0x00,Intel,Intel-L84,1,1,16,256,256,2,2048,0x07FF,0,0,8,9,1,,,0x14,2048,2,0x000F,20,26,32768,7,0,0,0,0
"0x89,0x88,0x24,0x4B,0xA9,0x84",0x00,Intel,Intel-L84,1,1,16,256,256,2,2048,0x07FF,0,0,8,9,1,,,0x14,4096,4,0x000F,20,27,65536,8,0,0,0,0
"0x89,0x88,0x24,0x4B,0xA9,0x84",0x00,Intel,Intel-L84,1,1,16,256,256,2,2048,0x07FF,0,0,8,9,1,,,0x21,512,1,0xF001,8,25,8192,9,0,0,0,0
"0x89,0x88,0x24,0x4B,0xA9,0x84",0x00,Intel,Intel-L84,1,1,16,256,256,2,2048,0x07FF,0,0,8,9,1,,,0x21,1024,2,0x000F,20,26,16384,10,0,0,0,0
"0x89,0x88,0x24,0x4B,0xA9,0x84",0x00,Intel,Intel-L84,1,1,16,256,256,2,2048,0x07FF,0,0,8,9,1,,,0x21,2048,4,0x000F,20,27,32768,11,0,0,0,0
"0xEC,0x1A,0xA8,0xDE,0x88,0xC5",0x00,Samsung,K9ADGD8U0M,1,1,16,256,256,4,2048,0x07FF,0,0,8,10,1,,,0x11,256,1,0xE003,8,25,4096,0,0,0,0,0
"0xEC,0x1A,0xA8,0xDE,0x88,0xC5",0x00,Samsung,K9ADGD8U0M,1,1,16,256,256,4,2048,0x07FF,0,0,8,10,1,,,0x11,512,2,0x7001,9,26,8192,1,0,0,0,0
"0xEC,0x1A,0xA8,0xDE,0x88,0xC5",0x00,Samsung,K9ADGD8U0M,1,1,16,256,256,4,2048,0x07FF,0,0,8,10,1,,,0x11,1024,4,0x0007,21,27,16384,2,0,0,0,0
"0xEC,0x1A,0xA8,0xDE,0x88,0xC5",0x00,Samsung,K9ADGD8U0M,1,1,16,256,256,4,2048,0x07FF,0,0,8,10,1,,,0x12,512,1,0xE003,8,25,8192,3,0,0,0,0
"0xEC,0x1A,0xA8,0xDE,0x88,0xC5",0x00,Samsung,K9ADGD8U0M,1,1,16,256,256,4,2048,0x07FF,0,0,8,10,1,,,0x12,1024,2,0x7001,9,26,16384,4,0,0,0,0
"0xEC,0x1A,0xA8,0xDE,0x88,0xC5",0x00,Samsung,K9ADGD8U0M,1,1,16,256,256,4,2048,0x07FF,0,0,8,10,1,,,0x12,2048,4,0x0007,21,27,32768,5,0,0,0,0
"0xEC,0x1A,0xA8,0xDE,0x88,0xC5",0x00,Samsung,K9ADGD8U0M,1,1,16,256,256,4,2048,0x07FF,0,0,8,10,1,,,0x14,1024,1,0xE003,8,25,16384,6,0,0,0,0
"0xEC,0x1A,0xA8,0xDE,0x88,0xC5",0x00,Samsung,K9ADGD8U0M,1,1,16,256,256,4,2048,0x07FF,0,0,8,10,1,,,0x14,2048,2,0x7001,9,26,32768,7,0,0,0,0
"0xEC,0x1A,0xA8,0xDE,0x88,0xC5",0x00,Samsung,K9ADGD8U0M,1,1,16,256,256,4,2048,0x07FF,0,0,8,10,1,,,0x14,4096,4,0x0007,21,27,65536,8,0,0,0,0
"0xEC,0x1A,0xA8,0xDE,0x88,0xC5",0x00,Samsung,K9ADGD8U0M,1,1,16,256,256,4,2048,0x07FF,0,0,8,10,1,,,0x21,512,1,0xE003,8,25,8192,9,0,0,0,0
"0xEC,0x1A,0xA8,0xDE,0x88,0xC5",0x00,Samsung,K9ADGD8U0M,1,1,16,256,256,4,2048,0x07FF,0,0,8,10,1,,,0x21,1024,2,0x7001,9,26,16384,10,0,0,0,0
"0xEC,0x1A,0xA8,0xDE,0x88,0xC5",0x00,Samsung,K9ADGD8U0M,1,1,16,256,256,4,2048,0x07FF,0,0,8,10,1,,,0x21,2048,4,0x0007,21,27,32768,11,0,0,0,0
"0xEC,0xDE,0x98,0xCE,0x74,0xC4",0x00,Samsung,3C_K9ACG_ED3,1,1,16,192,256,2,2048,0x07FF,0,0,8,9,1,,,0x11,192,1,0xF001,8,25,3072,0,0,0,0,0
"0xEC,0xDE,0x98,0xCE,0x74,0xC4",0x00,Samsung,3C_K9ACG_ED3,1,1,16,192,256,2,2048,0x07FF,0,0,8,9,1,,,0x11,384,2,0x000F,20,26,6144,1,0,0,0,0
"0xEC,0xDE,0x98,0xCE,0x74,0xC4",0x00,Samsung,3C_K9ACG_ED3,1,1,16,192,256,2,2048,0x07FF,0,0,8,9,1,,,0x11,768,4,0x000F,20,27,12288,2,0,0,0,0
"0xEC,0xDE,0x98,0xCE,0x74,0xC4",0x00,Samsung,3C_K9ACG_ED3,1,1,16,192,256,2,2048,0x07FF,0,0,8,9,1,,,0x12,384,1,0xF001,8,25,6144,3,0,0,0,0
"0xEC,0xDE,0x98,0xCE,0x74,0xC4",0x00,Samsung,3C_K9ACG_ED3,1,1,16,192,256,2,2048,0x07FF,0,0,8,9,1,,,0x12,768,2,0x000F,20,26,12288,4,0,0,0,0
"0xEC,0xDE,0x98,0xCE,0x74,0xC4",0x00,Samsung,3C_K9ACG_ED3,1,1,16,192,256,2,2048,0x07FF,0,0,8,9,1,,,0x12,1536,4,0x000F,20,27,24576,5,0,0,0,0
"0xEC,0xDE,0x98,0xCE,0x74,0xC4",0x00,Samsung,3C_K9ACG_ED3,1,1,16,192,256,2,2048,0x07FF,0,0,8,9,1,,,0x14,768,1,0xF001,8,25,12288,6,0,0,0,0
"0xEC,0xDE,0x98,0xCE,0x74,0xC4",0x00,Samsung,3C_K9ACG_ED3,1,1,16,192,256,2,2048,0x07FF,0,0,8,9,1,,,0x14,1536,2,0x000F,20,26,24576,7,0,0,0,0
"0xEC,0xDE,0x98,0xCE,0x74,0xC4",0x00,Samsung,3C_K9ACG_ED3,1,1,16,192,256,2,2048,0x07FF,0,0,8,9,1,,,0x14,3072,4,0x000F,20,27,49152,8,0,0,0,0
"0xEC,0xDE,0x98,0xCE,0x74,0xC4",0x00,Samsung,3C_K9ACG_ED3,1,1,16,192,256,2,2048,0x07FF,0,0,8,9,1,,,0x21,384,1,0xF001,8,25,6144,9,0,0,0,0
