FlashID,SubID,CardType,Brand,FlashName,MaxPhyBlockPerPlaneCE,MaxRetryNum,MaxRereadNum,ECCMode,ToggleEnable,DQSDelay,SetROSC,FMOSCValue,CycleTime,FwCycleTime,CPUClock,SetCtrlDriving,CtrlDriving,SetIODriving,IODriving,LCEnable,LC_00,LC_01,LC_02,FlashType,ScriptID,ThreadNumber,SLCBoundary,FlashDrivingEnable,FlashDriving,DowngradeOption,USB_PWM_ENA,USBInitOption,USBRequestOverRide,DisableSetFp,AutoDisPWMoption,FastLoadCodeoption,HotResetLoadCodeOption,USBIniOverRide,USBOverRide,NotDelayEnableU1U2,NotDisableU1U2,OverwriteUFI_28,OverRideCPUINT,CPUIT0,CPUIE,DisableAutoRst,OverRideCXW,WatchDogCount,SUSPENDNotStopClK,RadomRW,OverWriteSCSICMD,HomoMode,BCTEnable,FWBCTEnable,LoadTLC_FW,FullFirmwareBlock,FirmwarePageFileName,BinFileName,BinFileNameLLF,BootLoaderBin,PreBootLoaderBIN,ReadRetryTable,ReadRetryBin,LLFBlock,LLFBlockECC,SupportCacheRead,SupportCacheWrite,SLCPageSectorPerPlane,SLCPagePlanePerPage,SLCPageCEPerPage,SetCleanThread,CleanThreadNum,FwCycleTime_Write,SetROSC_Write,Fw_FMOSCValue_Write,MaxSLCBasePage,CasualBlockNum,Write_SLC_Mode_Enable,FAT_Cluster_Size,BBPercent,TuneOSCSafe
"0x2C,0x64,0x44,0x4B,0xA9,0x00",0x01-00,0,Micron,MT29F64G08CBABA,2048,20,3,44,0x10,0x04,0x00,133,33,12,0x05,0,0x00,1,0x01,1,0x00,0x00,0x00,MLC,0x00,4,0,0,0,0x00,0x00,0x08,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,,1,0,0,0,0x00,L84A,10_D1_MLC_256.bin,10_D1_MLC_256.bin,BootLoader.BIN,PreBootLoader.BIN,,10_MLC_RR_Micron.bin,1960,0,1,1,2,1,1,0,0,0,0x00,0,0,0,0,0,6.500000,0
"0x2C,0x64,0x44,0x4B,0xA9,0x00",0x01-01,1,Micron,MT29F64G08CBABA,2048,20,3,44,0x10,0x04,0x00,133,33,12,0x05,0,0x00,1,0x01,1,0x00,0x00,0x00,MLC,0x00,4,0,0,0,0x00,0x00,0x08,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,,1,0,0,0,0x00,L84A,10_D1_MLC_256.bin,10_D1_MLC_256.bin,BootLoader.BIN,PreBootLoader.BIN,,10_MLC_RR_Micron.bin,1960,0,1,1,2,2,1,0,0,0,0x00,0,0,0,0,0,6.500000,0
"0x2C,0x64,0x44,0x4B,0xA9,0x00",0x00-02,2,Micron,MT29F64G08CBABA,2048,20,3,44,0x10,0x04,0x00,133,33,12,0x05,0,0x00,1,0x01,1,0x00,0x00,0x00,MLC,0x00,4,0,0,0,0x00,0x00,0x08,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,,1,0,0,0,0x00,L84A,10_D1_MLC_256.bin,10_D1_MLC_256.bin,BootLoader.BIN,PreBootLoader.BIN,,10_MLC_RR_Micron.bin,1960,0,1,1,2,4,1,0,0,0,0x00,0,0,0,0,0,6.500000,0
"0x2C,0x64,0x44,0x4B,0xA9,0x00",0x00-01,1,Micron,MT29F64G08CBABA,2048,20,3,44,0x10,0x04,0x00,133,33,12,0x05,0,0x00,1,0x01,1,0x00,0x00,0x00,MLC,0x00,4,0,0,0,0x00,0x00,0x08,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,,1,0,0,0,0x00,L84A,10_D1_MLC_256.bin,10_D1_MLC_256.bin,BootLoader.BIN,PreBootLoader.BIN,,10_MLC_RR_Micron.bin,1960,0,1,1,2,1,2,0,0,0,0x00,0,0,0,0,0,6.500000,0
"0x89,0x88,0x24,0x4B,0xA9,0x84",0x00-00,0,Intel,Intel-L84,2048,20,3,44,0x10,0x04,0x01,133,33,12,0x05,0,0x00,1,0x01,1,0x00,0x00,0x00,MLC,0x00,4,0,0,0,0x00,0x00,0x08,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,,1,0,0,0,0x00,L84A,10_D1_MLC_256.bin,10_D1_MLC_256.bin,BootLoader.BIN,PreBootLoader.BIN,,10_MLC_RR_Intel.bin,1960,0,1,1,2,1,1,0,0,0,0x00,0,0,0,0,0,6.500000,0
"0x89,0x88,0x24,0x4B,0xA9,0x84",0x00-01,1,Intel,Intel-L84,2048,20,3,44,0x10,0x04,0x01,133,33,12,0x05,0,0x00,1,0x01,1,0x00,0x00,0x00,MLC,0x00,4,0,0,0,0x00,0x00,0x08,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,,1,0,0,0,0x00,L84A,10_D1_MLC_256.bin,10_D1_MLC_256.bin,BootLoader.BIN,PreBootLoader.BIN,,10_MLC_RR_Intel.bin,1960,0,1,1,2,2,1,0,0,0,0x00,0,0,0,0,0,6.500000,0
"0x89,0x88,0x24,0x4B,0xA9,0x84",0x00-02,2,Intel,Intel-L84,2048,20,3,44,0x10,0x04,0x01,133,33,12,0x05,0,0x00,1,0x01,1,0x00,0x00,0x00,MLC,0x00,4,0,0,0,0x00,0x00,0x08,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,,1,0,0,0,0x00,L84A,10_D1_MLC_256.bin,10_D1_MLC_256.bin,BootLoader.BIN,PreBootLoader.BIN,,10_MLC_RR_Intel.bin,1960,0,1,1,2,4,1,0,0,0,0x00,0,0,0,0,0,6.500000,0
"0x89,0x88,0x24,0x4B,0xA9,0x84",0x00-03,3,Intel,Intel-L84,2048,20,3,44,0x10,0x04,0x01,133,33,12,0x05,0,0x00,1,0x01,1,0x00,0x00,0x00,MLC,0x00,4,0,0,0,0x00,0x00,0x08,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,,1,0,0,0,0x00,L84A,10_D1_MLC_256.bin,10_D1_MLC_256.bin,BootLoader.BIN,PreBootLoader.BIN,,10_MLC_RR_Intel.bin,1960,0,1,1,2,1,2,0,0,0,0x00,0,0,0,0,0,6.500000,0
"0x89,0x88,0x24,0x4B,0xA9,0x84",0x00-04,4,Intel,Intel-L84,2048,20,3,44,0x10,0x04,0x01,133,33,12,0x05,0,0x00,1,0x01,1,0x00,0x00,0x00,MLC,0x00,4,0,0,0,0x00,0x00,0x08,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,,1,0,0,0,0x00,L84A,10_D1_MLC_256.bin,10_D1_MLC_256.bin,BootLoader.BIN,PreBootLoader.BIN,,10_MLC_RR_Intel.bin,1960,0,1,1,2,2,2,0,0,0,0x00,0,0,0,0,0,6.500000,0
"0x89,0x88,0x24,0x4B,0xA9,0x84",0x00-05,5,Intel,Intel-L84,2048,20,3,44,0x10,0x04,0x01,133,33,12,0x05,0,0x00,1,0x01,1,0x00,0x00,0x00,MLC,0x00,4,0,0,0,0x00,0x00,0x08,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,,1,0,0,0,0x00,L84A,10_D1_MLC_256.bin,10_D1_MLC_256.bin,BootLoader.BIN,PreBootLoader.BIN,,10_MLC_RR_Intel.bin,1960,0,1,1,2,4,2,0,0,0,0x00,0,0,0,0,0,6.500000,0
