===========  2007/05/17  ,  14:33:54  ==========
========= Count : 0 ==========
 LBA = 0,	 Xfer = 100 
 LBA = 100,	 Xfer = 109 
 LBA = 209,	 Xfer = 41 
 LBA = 250,	 Xfer = 34 
 LBA = 284,	 Xfer = 31 
 LBA = 315,	 Xfer = 33 
 LBA = 348,	 Xfer = 30 
 LBA = 378,	 Xfer = 76 
 LBA = 454,	 Xfer = 67 
 LBA = 521,	 Xfer = 4 
 LBA = 525,	 Xfer = 64 
 LBA = 589,	 Xfer = 66 
 LBA = 655,	 Xfer = 8 
 LBA = 663,	 Xfer = 5 
 LBA = 668,	 Xfer = 16 
 LBA = 684,	 Xfer = 21 
 LBA = 705,	 Xfer = 6 
 LBA = 711,	 Xfer = 102 
 LBA = 813,	 Xfer = 28 
 LBA = 841,	 Xfer = 41 
 LBA = 882,	 Xfer = 98 
 LBA = 980,	 Xfer = 74 
 LBA = 1054,	 Xfer = 70 
 LBA = 1124,	 Xfer = 104 
 LBA = 1228,	 Xfer = 45 
 LBA = 1273,	 Xfer = 15 
 LBA = 1288,	 Xfer = 71 
 LBA = 1359,	 Xfer = 55 
 LBA = 1414,	 Xfer = 9 
 LBA = 1423,	 Xfer = 93 
 LBA = 1516,	 Xfer = 116 
 LBA = 1632,	 Xfer = 41 
 LBA = 1673,	 Xfer = 14 
 LBA = 1687,	 Xfer = 127 
 LBA = 1814,	 Xfer = 63 
 LBA = 1877,	 Xfer = 115 
 LBA = 1992,	 Xfer = 108 
 LBA = 2100,	 Xfer = 114 
 LBA = 2214,	 Xfer = 128 
 LBA = 2342,	 Xfer = 33 
 LBA = 2375,	 Xfer = 81 
 LBA = 2456,	 Xfer = 60 
 LBA = 2516,	 Xfer = 118 
 LBA = 2634,	 Xfer = 7 
 LBA = 2641,	 Xfer = 13 
 LBA = 2654,	 Xfer = 127 
 LBA = 2781,	 Xfer = 8 
 LBA = 2789,	 Xfer = 121 
 LBA = 2910,	 Xfer = 116 
 LBA = 3026,	 Xfer = 78 
 LBA = 3104,	 Xfer = 81 
 LBA = 3185,	 Xfer = 63 
 LBA = 3248,	 Xfer = 3 
 LBA = 3251,	 Xfer = 63 
 LBA = 3314,	 Xfer = 92 
 LBA = 3406,	 Xfer = 67 
 LBA = 3473,	 Xfer = 71 
 LBA = 3544,	 Xfer = 66 
 LBA = 3610,	 Xfer = 44 
 LBA = 3654,	 Xfer = 13 
 LBA = 3667,	 Xfer = 123 
 LBA = 3790,	 Xfer = 49 
 LBA = 3839,	 Xfer = 128 
 LBA = 3967,	 Xfer = 113 
 LBA = 4080,	 Xfer = 113 
 LBA = 4193,	 Xfer = 40 
 LBA = 4233,	 Xfer = 85 
 LBA = 4318,	 Xfer = 7 
 LBA = 4325,	 Xfer = 51 
 LBA = 4376,	 Xfer = 22 
 LBA = 4398,	 Xfer = 43 
 LBA = 4441,	 Xfer = 92 
 LBA = 4533,	 Xfer = 105 
 LBA = 4638,	 Xfer = 20 
 LBA = 4658,	 Xfer = 12 
 LBA = 4670,	 Xfer = 103 
 LBA = 4773,	 Xfer = 125 
 LBA = 4898,	 Xfer = 118 
 LBA = 5016,	 Xfer = 75 
 LBA = 5091,	 Xfer = 63 
 LBA = 5154,	 Xfer = 126 
 LBA = 5280,	 Xfer = 32 
 LBA = 5312,	 Xfer = 10 
 LBA = 5322,	 Xfer = 11 
 LBA = 5333,	 Xfer = 66 
 LBA = 5399,	 Xfer = 28 
 LBA = 5427,	 Xfer = 126 
 LBA = 5553,	 Xfer = 57 
 LBA = 5610,	 Xfer = 80 
 LBA = 5690,	 Xfer = 105 
 LBA = 5795,	 Xfer = 119 
 LBA = 5914,	 Xfer = 115 
 LBA = 6029,	 Xfer = 124 
 LBA = 6153,	 Xfer = 21 
 LBA = 6174,	 Xfer = 26 
 LBA = 6200,	 Xfer = 78 
 LBA = 6278,	 Xfer = 84 
 LBA = 6362,	 Xfer = 14 
 LBA = 6376,	 Xfer = 113 
 LBA = 6489,	 Xfer = 69 
 LBA = 6558,	 Xfer = 59 
 LBA = 6617,	 Xfer = 53 
 LBA = 6670,	 Xfer = 39 
 LBA = 6709,	 Xfer = 103 
 LBA = 6812,	 Xfer = 84 
 LBA = 6896,	 Xfer = 52 
 LBA = 6948,	 Xfer = 12 
 LBA = 6960,	 Xfer = 76 
 LBA = 7036,	 Xfer = 34 
 LBA = 7070,	 Xfer = 17 
 LBA = 7087,	 Xfer = 95 
 LBA = 7182,	 Xfer = 77 
 LBA = 7259,	 Xfer = 109 
 LBA = 7368,	 Xfer = 4 
 LBA = 7372,	 Xfer = 77 
 LBA = 7449,	 Xfer = 116 
 LBA = 7565,	 Xfer = 103 
 LBA = 7668,	 Xfer = 6 
 LBA = 7674,	 Xfer = 53 
 LBA = 7727,	 Xfer = 50 
 LBA = 7777,	 Xfer = 15 
 LBA = 7792,	 Xfer = 43 
 LBA = 7835,	 Xfer = 46 
 LBA = 7881,	 Xfer = 80 
 LBA = 7961,	 Xfer = 86 
 LBA = 8047,	 Xfer = 49 
 LBA = 8096,	 Xfer = 75 
 LBA = 8171,	 Xfer = 40 
 LBA = 8211,	 Xfer = 128 
 LBA = 8339,	 Xfer = 89 
 LBA = 8428,	 Xfer = 30 
 LBA = 8458,	 Xfer = 21 
 LBA = 8479,	 Xfer = 78 
 LBA = 8557,	 Xfer = 117 
 LBA = 8674,	 Xfer = 122 
 LBA = 8796,	 Xfer = 40 
 LBA = 8836,	 Xfer = 90 
 LBA = 8926,	 Xfer = 67 
 LBA = 8993,	 Xfer = 125 
 LBA = 9118,	 Xfer = 29 
 LBA = 9147,	 Xfer = 66 
 LBA = 9213,	 Xfer = 121 
 LBA = 9334,	 Xfer = 78 
 LBA = 9412,	 Xfer = 13 
 LBA = 9425,	 Xfer = 8 
 LBA = 9433,	 Xfer = 33 
 LBA = 9466,	 Xfer = 36 
 LBA = 9502,	 Xfer = 101 
 LBA = 9603,	 Xfer = 57 
 LBA = 9660,	 Xfer = 39 
 LBA = 9699,	 Xfer = 8 
 LBA = 9707,	 Xfer = 22 
 LBA = 9729,	 Xfer = 77 
 LBA = 9806,	 Xfer = 49 
 LBA = 9855,	 Xfer = 91 
 LBA = 9946,	 Xfer = 14 
 LBA = 9960,	 Xfer = 79 
 LBA = 10039,	 Xfer = 46 
 LBA = 10085,	 Xfer = 26 
 LBA = 10111,	 Xfer = 104 
 LBA = 10215,	 Xfer = 62 
 LBA = 10277,	 Xfer = 50 
 LBA = 10327,	 Xfer = 97 
 LBA = 10424,	 Xfer = 95 
 LBA = 10519,	 Xfer = 50 
 LBA = 10569,	 Xfer = 1 
 LBA = 10570,	 Xfer = 46 
 LBA = 10616,	 Xfer = 9 
 LBA = 10625,	 Xfer = 66 
 LBA = 10691,	 Xfer = 106 
 LBA = 10797,	 Xfer = 104 
 LBA = 10901,	 Xfer = 66 
 LBA = 10967,	 Xfer = 38 
 LBA = 11005,	 Xfer = 86 
 LBA = 11091,	 Xfer = 32 
 LBA = 11123,	 Xfer = 101 
 LBA = 11224,	 Xfer = 25 
 LBA = 11249,	 Xfer = 32 
 LBA = 11281,	 Xfer = 22 
 LBA = 11303,	 Xfer = 67 
 LBA = 11370,	 Xfer = 1 
 LBA = 11371,	 Xfer = 39 
 LBA = 11410,	 Xfer = 127 
 LBA = 11537,	 Xfer = 77 
 LBA = 11614,	 Xfer = 82 
 LBA = 11696,	 Xfer = 34 
 LBA = 11730,	 Xfer = 5 
 LBA = 11735,	 Xfer = 20 
 LBA = 11755,	 Xfer = 48 
 LBA = 11803,	 Xfer = 52 
 LBA = 11855,	 Xfer = 16 
 LBA = 11871,	 Xfer = 116 
 LBA = 11987,	 Xfer = 84 
 LBA = 12071,	 Xfer = 65 
 LBA = 12136,	 Xfer = 68 
 LBA = 12204,	 Xfer = 11 
 LBA = 12215,	 Xfer = 48 
 LBA = 12263,	 Xfer = 127 
 LBA = 12390,	 Xfer = 75 
 LBA = 12465,	 Xfer = 112 
 LBA = 12577,	 Xfer = 86 
 LBA = 12663,	 Xfer = 80 
 LBA = 12743,	 Xfer = 57 
